ProbeId	ProbeName	GeneSymbol	ENTREZID
1022327	CUST_1190_PI416261804	BTBD11	121551
1049509	A_23_P252062	PPARG	5468
1017774	CUST_16439_PI416261804	PPARG	5468
1017770	CUST_16442_PI416261804	PPARG	5468
1046809	A_23_P35092	IL19	29949
1020533	CUST_13473_PI416261804	IL19	29949
1022139	CUST_12718_PI416261804	IL19	29949
1055414	A_23_P132316	APOBEC3D	140564
1020187	CUST_140_PI416379584	OR4D10	390197
1020497	CUST_135_PI416573500	OR4D10	390197
1038853	A_23_P9465	FPGS	2356
1021558	CUST_13225_PI416261804	FPGS	2356
1055604	A_23_P13018	FIBP	9158
1052921	A_23_P1615	FIBP	9158
1040367	A_23_P80398	NCAPH2	29781
1046514	A_23_P369960	NCAPH2	29781
1013199	CUST_5414_PI416261804	NCAPH2	29781
1043434	A_23_P47788	METTL1	4234
1043433	A_23_P47790	METTL1	4234
1052971	A_23_P160968	LAMC2	3918
1017579	CUST_17066_PI416261804	LAMC2	3918
1035271	A_24_P320221	TRAPPC11	60684
1052209	A_23_P170399	TRAPPC11	60684
1034685	A_24_P328819	TRAPPC11	60684
1059574	CUST_942_PI416379584	MINAR1	23251
1013904	CUST_411_PI416408490	MINAR1	23251
1055357	CUST_911_PI416573500	MINAR1	23251
1034911	A_24_P310630	UPF3B	65109
1043980	A_23_P45409	UPF3B	65109
1052004	A_23_P203376	MS4A6A	64231
1023979	CUST_1096_PI416573500	OR2B3	442184
1023543	CUST_1132_PI416379584	OR2B3	442184
1035067	A_24_P303524	MICALL2	79778
1037446	A_24_P206305	MICALL2	79778
1042716	A_23_P54000	SNX6	58533
1012535	CUST_5296_PI416261804	SNX6	58533
1044049	A_23_P500861	SYNE1	23345
1018777	CUST_15430_PI416261804	SYNE1	23345
1048239	A_23_P320684	VPS41	27072
1050349	A_23_P215318	VPS41	27072
1058380	A_23_P102622	MATN4	8785
1010817	CUST_6403_PI416261804	MATN4	8785
1059322	CUST_7268_PI416261804	GTF2IRD1P1	729156
1057960	A_23_P111621	GTF2IRD1	9569
1049565	A_23_P257694	GTF2IRD1	9569
1040119	A_23_P90375	TMEM259	91304
1040273	A_23_P82379	CACNA2D1	781
1020686	CUST_13925_PI416261804	CACNA2D1	781
1021412	CUST_129_PI416408490	CACNA2D1	781
1052052	A_23_P18806	YIPF5	81555
1034681	A_24_P328969	YIPF5	81555
1057291	A_23_P119677	HNRNPL	3191
1015415	CUST_331_PI416379584	OR4C6	219432
1015006	CUST_322_PI416573500	OR4C6	219432
1038832	A_23_P94860	NUDT9	53343
1017480	CUST_16601_PI416261804	NUDT9	53343
1037039	A_24_P186342	ZFP14	57677
1025373	CUST_1032_PI416261804	ZFP14	57677
1044721	A_23_P408822	DBF4B	80174
1036478	A_24_P253780	DBF4B	80174
1040182	A_24_P112160	UPK3B	105375355
1024573	CUST_10430_PI416261804	UPK3B	105375355
1059348	CUST_7280_PI416261804	CCNB1IP1	57820
1059049	CUST_7401_PI416261804	CCNB1IP1	57820
1051951	A_23_P203949	DDX11	1663
1051952	A_23_P203947	DDX11	1663
1019647	CUST_15007_PI416261804	ARSI	340075
1051923	A_23_P19030	ARSI	340075
1013757	CUST_439_PI416379584	IFIT1B	439996
1014264	CUST_430_PI416573500	IFIT1B	439996
1015732	CUST_255_PI416379584	OR5B17	219965
1015804	CUST_247_PI416573500	OR5B17	219965
1016853	CUST_179_PI416261804	OR4C46	119749
1035230	A_24_P281403	OR4C46	119749
1042750	A_23_P53467	IKBIP	121457
1012741	CUST_5451_PI416261804	IKBIP	121457
1024876	CUST_1040_PI416261804	IFT122	55764
1016271	CUST_24_PI416383280	GFRA4	64096
1057779	A_23_P107597	ATP8B1	5205
1020353	CUST_14309_PI416261804	ATP8B1	5205
1059987	CUST_98_PI416408490	ATP8B1	5205
1049661	A_23_P25176	TBX5	6910
1019011	CUST_15205_PI416261804	TBX5	6910
1036168	A_24_P243347	MAT2B	27430
1041035	A_23_P81408	MAT2B	27430
1045220	A_23_P394809	DTNA	1837
1034383	A_24_P36229	DTNA	1837
1010272	CUST_6756_PI416261804	DTNA	1837
1010275	CUST_6753_PI416261804	DTNA	1837
1016238	CUST_242_PI416408490	DTNA	1837
1032342	A_24_P46212	FGFRL1	53834
1043776	A_23_P429046	WASHC2A	387680
1031741	A_24_P677639	FAM21EP	100421577
1022825	CUST_1216_PI416379584	OR13G1	441933
1022556	CUST_1177_PI416573500	OR13G1	441933
1049706	A_23_P251132	SNTG2	54221
1015562	CUST_2668_PI416261804	SNTG2	54221
1011878	CUST_601_PI416408490	SNTG2	54221
1051051	A_23_P2077	OR4C3	256144
1016510	CUST_2024_PI416261804	OR4C3	256144
1015324	CUST_34_PI416408490	PDGFRB	5159
1043891	A_23_P46539	PSRC1	84722
1019645	CUST_15010_PI416261804	PSRC1	84722
1031289	A_24_P74160	SNRPD2	6633
1041309	A_23_P77847	GRB2	2885
1032953	A_24_P407717	GRB2	2885
1037400	A_24_P167654	SLC8A3	6547
1043285	A_23_P48487	SLC8A3	6547
1033568	A_24_P399500	PCP2	126006
1010903	CUST_666_PI416261804	PCP2	126006
1012918	CUST_492_PI416379584	OAS2	4939
1057667	A_23_P110184	MSMO1	6307
1011387	CUST_593_PI416379584	WDR33	55339
1011655	CUST_577_PI416573500	WDR33	55339
1015631	CUST_259_PI416573500	WDR33	55339
1035025	A_24_P30557	TBX5	6910
1019013	CUST_15202_PI416261804	TBX5	6910
1047545	A_23_P329375	POU6F1	5463
1014816	CUST_351_PI416379584	OR4K15	81127
1014943	CUST_342_PI416573500	OR4K15	81127
1014726	CUST_360_PI416379584	OR4C16	219428
1014814	CUST_351_PI416573500	OR4C16	219428
1053127	A_23_P164068	DNAH9	1770
1011378	CUST_5937_PI416261804	DNAH9	1770
1052212	A_23_P170337	ALDH4A1	8659
1035946	A_24_P263036	ALDH4A1	8659
1028393	A_32_P192970	ALDH4A1	8659
1050679	A_23_P211047	BACH1	571
1046564	A_23_P356717	ANKS1B	56899
1059570	CUST_9416_PI416261804	ANKS1B	56899
1059571	CUST_9418_PI416261804	ANKS1B	56899
1027722	A_32_P205637	PARD6B	84612
1051941	A_23_P204087	OAS2	4939
1016053	CUST_217_PI416379584	ARID3C	138715
1016738	CUST_211_PI416573500	ARID3C	138715
1016910	CUST_1757_PI417557136	CHAT	1103
1021437	CUST_1287_PI417557136	CHAT	1103
1016737	CUST_211_PI417557136	CHAT	1103
1043861	A_23_P46894	CHAT	1103
1038214	A_24_P128219	CHAT	1103
1033623	A_24_P397107	CDC25A	993
1056448	A_23_P121423	CDC25A	993
1049138	A_23_P28953	DNMT3B	1789
1019595	CUST_14440_PI416261804	DNMT3B	1789
1019559	CUST_14473_PI416261804	DNMT3B	1789
1038107	A_24_P143492	BCAS4	55653
1047398	A_23_P332789	CHRNB4	1143
1017096	CUST_171_PI416408490	CHRNB4	1143
1021613	CUST_12818_PI416261804	CHRNB4	1143
1059061	CUST_707_PI416379584	SULT1C3	442038
1010653	CUST_682_PI416573500	SULT1C3	442038
1017819	CUST_163_PI416379584	OR4C11	219429
1018435	CUST_158_PI416573500	OR4C11	219429
1039269	A_23_P93787	HGF	3082
1018559	CUST_16093_PI416261804	HGF	3082
1049354	A_23_P2543	CUX2	23316
1016052	CUST_217_PI416408490	CUX2	23316
1035220	A_24_P281908	CUX2	23316
1036193	A_24_P241862	RANBP3	8498
1047925	A_23_P310331	RANBP3	8498
1046376	A_23_P360179	NEURL4	84461
1059945	CUST_9766_PI416261804	NEURL4	84461
1034031	A_24_P378019	IRF7	3665
1038971	A_24_P118892	IRF7	3665
1056377	A_23_P124661	ATXN2L	11273
1054449	A_23_P147439	ATXN2L	11273
1034849	A_24_P323148	LYPD5	284348
1019729	CUST_1494_PI416261804	LYPD5	284348
1038679	A_24_P13715	FBXO22	26263
1041924	A_23_P65870	FBXO22	26263
1058890	CUST_7491_PI416261804	FBXO22	26263
1038328	A_24_P159916	SSBP4	170463
1053551	A_23_P153662	LGALS14	56891
1021261	CUST_13082_PI416261804	LGALS14	56891
1010270	CUST_6759_PI416261804	DTNA	1837
1054144	A_23_P151649	APEX1	328
1054143	A_23_P151653	APEX1	328
1044861	A_23_P417415	ACOT11	26027
1048044	A_23_P325726	ACOT11	26027
1017749	CUST_1647_PI416261804	ACOT11	26027
1052685	A_23_P163143	ACYP1	97
1024246	CUST_10606_PI416261804	ACYP1	97
1024249	CUST_10603_PI416261804	ACYP1	97
1018229	CUST_16410_PI416261804	TAC1	6863
1025093	CUST_1052_PI416379584	OR2Z1	284383
1025146	CUST_1020_PI416573500	OR2Z1	284383
1036944	A_24_P208825	MUC4	4585
1017629	CUST_17010_PI416261804	MUC4	4585
1036806	A_24_P239177	MUC4	4585
1036805	A_24_P239183	MUC4	4585
1036807	A_24_P239176	MUC4	4585
1032737	A_24_P624439	C17orf97	400566
1010807	CUST_6411_PI416261804	C17orf97	400566
1053108	A_23_P164307	MINK1	50488
1053107	A_23_P164313	MINK1	50488
1042760	A_23_P53363	ATP23	91419
1011523	CUST_6255_PI416261804	ATP23	91419
1042401	A_23_P64828	OAS1	4938
1021338	CUST_12964_PI416261804	OAS1	4938
1035106	A_24_P301846	GART	2618
1019621	CUST_15037_PI416261804	GART	2618
1010265	CUST_6760_PI416261804	NUSAP1	51203
1051011	A_23_P208158	DTNA	1837
1038753	A_24_P102315	KIAA1755	85449
1029394	A_32_P113971	KIAA1755	85449
1020460	CUST_136_PI416379584	OSCP1	127700
1021074	CUST_132_PI416573500	OSCP1	127700
1053224	A_23_P158148	CCT6A	908
1026322	A_32_P54544	CCT6P3	643180
1010293	CUST_674_PI416379584	RAB19	401409
1010553	CUST_651_PI416573500	RAB19	401409
1014889	CUST_347_PI416379584	OR4K5	79317
1015341	CUST_338_PI416573500	OR4K5	79317
1014586	CUST_37_PI416379584	OR5B21	219968
1014833	CUST_35_PI416573500	OR5B21	219968
1039551	A_23_P99320	KRT18	3875
1058933	CUST_752_PI416573500	OR2W5	441932
1014159	CUST_778_PI416379584	OR2W5	441932
1057018	A_23_P127186	TACC2	10579
1011640	CUST_5823_PI416261804	TACC2	10579
1029308	A_32_P12169	TACC2	10579
1055463	A_23_P131771	TPD52L2	7165
1010668	CUST_681_PI416261804	TPD52L2	7165
1010645	CUST_683_PI416261804	TPD52L2	7165
1058473	A_23_P101434	NLRP12	91662
1039374	A_23_P90041	NLRP12	91662
1051711	A_23_P205724	NRDE2	55051
1022470	CUST_1243_PI416261804	NRDE2	55051
1022208	CUST_1265_PI417557136	CNR1	1268
1023367	CUST_1143_PI417557136	CNR1	1268
1021657	CUST_1264_PI417557136	CNR1	1268
1023378	CUST_1142_PI417557136	CNR1	1268
1021675	CUST_1263_PI417557136	CNR1	1268
1023389	CUST_1141_PI417557136	CNR1	1268
1021688	CUST_1262_PI417557136	CNR1	1268
1023402	CUST_1140_PI417557136	CNR1	1268
1021700	CUST_1261_PI417557136	CNR1	1268
1023419	CUST_1139_PI417557136	CNR1	1268
1050826	A_23_P214208	CNR1	1268
1021712	CUST_1260_PI417557136	CNR1	1268
1023432	CUST_1138_PI417557136	CNR1	1268
1021727	CUST_1259_PI417557136	CNR1	1268
1023444	CUST_1137_PI417557136	CNR1	1268
1021741	CUST_1258_PI417557136	CNR1	1268
1023483	CUST_1136_PI417557136	CNR1	1268
1021755	CUST_1257_PI417557136	CNR1	1268
1023500	CUST_1135_PI417557136	CNR1	1268
1023508	CUST_1134_PI417557136	CNR1	1268
1021770	CUST_1255_PI417557136	CNR1	1268
1023527	CUST_1133_PI417557136	CNR1	1268
1021852	CUST_1254_PI417557136	CNR1	1268
1023541	CUST_1132_PI417557136	CNR1	1268
1023553	CUST_1131_PI417557136	CNR1	1268
1021873	CUST_1252_PI417557136	CNR1	1268
1023566	CUST_1130_PI417557136	CNR1	1268
1021884	CUST_1251_PI417557136	CNR1	1268
1023583	CUST_1129_PI417557136	CNR1	1268
1021898	CUST_1250_PI417557136	CNR1	1268
1023595	CUST_1128_PI417557136	CNR1	1268
1021916	CUST_1249_PI417557136	CNR1	1268
1023605	CUST_1127_PI417557136	CNR1	1268
1021934	CUST_1247_PI417557136	CNR1	1268
1023628	CUST_1125_PI417557136	CNR1	1268
1023643	CUST_1124_PI417557136	CNR1	1268
1022453	CUST_1245_PI417557136	CNR1	1268
1023655	CUST_1123_PI417557136	CNR1	1268
1022468	CUST_1243_PI417557136	CNR1	1268
1023842	CUST_1121_PI417557136	CNR1	1268
1022477	CUST_1242_PI417557136	CNR1	1268
1023853	CUST_1120_PI417557136	CNR1	1268
1022489	CUST_1241_PI417557136	CNR1	1268
1023870	CUST_1119_PI417557136	CNR1	1268
1022919	CUST_1239_PI417557136	CNR1	1268
1023893	CUST_1117_PI417557136	CNR1	1268
1021946	CUST_1236_PI417557136	CNR1	1268
1024262	CUST_1114_PI417557136	CNR1	1268
1021956	CUST_1235_PI417557136	CNR1	1268
1024271	CUST_1113_PI417557136	CNR1	1268
1021965	CUST_1234_PI417557136	CNR1	1268
1024284	CUST_1112_PI417557136	CNR1	1268
1021983	CUST_1233_PI417557136	CNR1	1268
1024294	CUST_1111_PI417557136	CNR1	1268
1022033	CUST_1232_PI417557136	CNR1	1268
1024309	CUST_1110_PI417557136	CNR1	1268
1024325	CUST_1109_PI417557136	CNR1	1268
1022044	CUST_1231_PI417557136	CNR1	1268
1022224	CUST_1229_PI417557136	CNR1	1268
1024347	CUST_1107_PI417557136	CNR1	1268
1022234	CUST_1228_PI417557136	CNR1	1268
1024359	CUST_1106_PI417557136	CNR1	1268
1022242	CUST_1227_PI417557136	CNR1	1268
1024368	CUST_1105_PI417557136	CNR1	1268
1022254	CUST_1226_PI417557136	CNR1	1268
1024382	CUST_1104_PI417557136	CNR1	1268
1022268	CUST_1225_PI417557136	CNR1	1268
1024390	CUST_1103_PI417557136	CNR1	1268
1022276	CUST_1224_PI417557136	CNR1	1268
1024398	CUST_1102_PI417557136	CNR1	1268
1022286	CUST_1223_PI417557136	CNR1	1268
1024824	CUST_1101_PI417557136	CNR1	1268
1022298	CUST_1222_PI417557136	CNR1	1268
1024837	CUST_1100_PI417557136	CNR1	1268
1022306	CUST_1221_PI417557136	CNR1	1268
1023938	CUST_1099_PI417557136	CNR1	1268
1023174	CUST_1220_PI417557136	CNR1	1268
1023950	CUST_1098_PI417557136	CNR1	1268
1022737	CUST_1219_PI417557136	CNR1	1268
1023965	CUST_1097_PI417557136	CNR1	1268
1024014	CUST_1093_PI417557136	CNR1	1268
1034358	A_24_P363259	CNR1	1268
1016573	CUST_196_PI416408490	CNR1	1268
1022984	CUST_1211_PI417557136	CNR1	1268
1024064	CUST_1089_PI417557136	CNR1	1268
1024102	CUST_1086_PI417557136	CNR1	1268
1023068	CUST_1205_PI417557136	CNR1	1268
1024623	CUST_1083_PI417557136	CNR1	1268
1030471	A_24_P921366	CALD1	800
1044169	A_23_P42575	CALD1	800
1060216	CUST_9991_PI416261804	MYO18A	399687
1060218	CUST_9994_PI416261804	MYO18A	399687
1039756	A_23_P88184	BTBD7	55727
1043593	A_23_P501877	ZFP64	55734
1058203	CUST_9372_PI416261804	P2RX2	22953
1030003	A_24_P940115	DLC1	10395
